Ticker,2018-12-31,2019-02-02,2019-03-31,2019-05-04,2019-06-30,2019-08-03,2019-09-30,2019-11-02,2019-12-31,2020-01-31,2020-02-01,2020-03-28,2020-03-29,2020-03-31,2020-04-03,2020-04-24,2020-04-25,2020-04-30,2020-05-02,2020-05-03,2020-06-27,2020-06-28,2020-06-30,2020-07-03,2020-07-25,2020-07-31,2020-08-01,2020-08-02,2020-09-26,2020-09-27,2020-09-30,2020-10-02,2020-10-03,2020-10-24,2020-10-30,2020-10-31,2020-11-01,2020-12-26,2020-12-27,2020-12-31,2021-01-01,2021-01-02,2021-01-23,2021-01-29,2021-01-30,2021-01-31,2021-03-27,2021-03-28,2021-03-31,2021-04-02,2021-04-03,2021-04-30,2021-05-01,2021-05-02,2021-06-26,2021-06-27,2021-06-30,2021-07-02,2021-07-03,2021-07-30,2021-07-31,2021-08-01,2021-09-25,2021-09-26,2021-09-30,2021-10-01,2021-10-02,2021-10-29,2021-10-30,2021-10-31,2021-12-25,2021-12-26,2021-12-31,2022-01-01,2022-01-28,2022-01-29,2022-01-31,2022-02-06,2022-03-26,2022-03-27,2022-03-31,2022-04-01,2022-04-02,2022-04-29,2022-04-30,2022-05-08,2022-06-25,2022-06-26,2022-06-30,2022-07-01,2022-07-02,2022-07-29,2022-07-30,2022-07-31,2022-08-07,2022-09-24,2022-09-25,2022-09-30,2022-10-01,2022-10-28,2022-10-29,2022-10-31,2022-11-06,2022-12-25,2022-12-30,2022-12-31,2023-01-27,2023-01-28,2023-01-31,2023-02-05,2023-03-26,2023-03-31,2023-04-01,2023-04-28,2023-04-29,2023-04-30,2023-05-07,2023-06-25,2023-06-30,2023-07-01,2023-07-28,2023-07-29,2023-07-31,2023-08-06,2023-09-24,2023-09-29,2023-09-30,2023-10-27,2023-10-28,2023-10-31,2023-11-05,2023-12-24,2023-12-29,2023-12-30,2023-12-31,2024-01-26,2024-01-27,2024-01-31,2024-02-03,2024-02-04,2024-03-29,2024-03-30,2024-03-31,2024-04-26,2024-04-27,2024-04-30,2024-05-04,2024-05-05,2024-06-28,2024-06-29,2024-06-30,2024-07-26,2024-07-27,2024-07-31,2024-08-03,2024-08-04,2024-09-27,2024-09-28,2024-09-29,2024-09-30,2024-10-25,2024-10-26,2024-10-31,2024-11-02,2024-11-03,2024-12-27,2024-12-28,2024-12-29,2024-12-31,2025-01-24,2025-01-25,2025-01-31,2025-02-01,2025-02-02
BYND,,,,,,,,,,,,97.07,,,,,,,,,113.34,,,,,,,,94.44,,,,,,,,,,,101.94,,,,,,,,,,,108.16,,,,,,,,149.43,,,,,,,,106.43,,,,,,100.68,,,,,,,,,,109.46,,,,,,,,147.04,,,,,,,,82.5,,,,,,,79.94,,,,,,,92.24,,,,,,,102.15,,,,,,,75.31,,,,,,,,73.68,,,,,,,75.6,,,,,,,,93.19,,,,,,,,81.01,,,,,,,,,,,76.66,,,,,
ZBRA,,,,,,,,,,,,1052.0,,,,,,,,,956.0,,,,,,,,1132.0,,,,,,,,,,,1308.0,,,,,,,,,,,1347.0,,,,,,,,1377.0,,,,,,,,1436.0,,,,,,1467.0,,,,,,,,,,1432.0,,,,,,,,1468.0,,,,,,,,1378.0,,,,,,,1503.0,,,,,,,1405.0,,,,,,,1214.0,,,,,,,956.0,,,,,,,,1009.0,,,,,,,1175.0,,,,,,,,1217.0,,,,,,,,1255.0,,,,,,,,,,,1334.0,,,,,
SG,,,,,,,,,,,,52.94,,,,,,,,,,32.92,,,,,,,,55.55,,,,,,,,,59.18,,,,,,,,,61.39,,,,,,,,86.21,,,,,,,,95.84,,,,,,,,96.43,,,,,,,,102.59,,,,,,,,124.92,,,,,,,,,124.03,,,,,,,118.57,,,,,,,125.06,,,,,,,152.53,,,,,,,153.43,,,,,,,,,,153.03,,,,,,,,157.85,,,,,,,,184.64,,,,,,,,173.43,,,,,,,,,160.9,,,,,,
LRCX,,,,,,,,,,,,,2504.0,,,,,,,,,2792.0,,,,,,,,3177.0,,,,,,,,,3456.0,,,,,,,,,3848.0,,,,,,,,4145.0,,,,,,,,4304.0,,,,,,,,4227.0,,,,,,,,4060.0,,,,,,,,4636.0,,,,,,,,,5074.0,,,,,,,5278.0,,,,,,,3870.0,,,,,,,3207.0,,,,,,,3482.0,,,,,,,3758.0,,,,,,,,,,,3794.0,,,,,,,,3872.0,,,,,,,,4168.0,,,,,,,,,4376.0,,,,,,
GOOG,,,,,,,,,,,,,,41159.0,,,,,,,,,38297.0,,,,,,,,46173.0,,,,,,,,,56898.0,,,,,,,,,55314.0,,,,,,,,61880.0,,,,,,,,65118.0,,,,,,,,75325.0,,,,,,,,68011.0,,,,,,,,69685.0,,,,,,,,,69092.0,,,,,,,,76048.0,,,,,,69787.0,,,,,,,74604.0,,,,,,,,76693.0,,,,,,,,86310.0,,,,,,,,80539.0,,,,,,,,84742.0,,,,,,,,,88268.0,,,,,,,,,96469.0,,,,,
EBAY,,,,,,,,,,,,,,1821.0,,,,,,,,,2337.0,,,,,,,,2258.0,,,,,,,,,2478.0,,,,,,,,,2638.0,,,,,,,,2668.0,,,,,,,,2501.0,,,,,,,,2613.0,,,,,,,,2483.0,,,,,,,,2422.0,,,,,,,,,2380.0,,,,,,,,2510.0,,,,,,2510.0,,,,,,,2540.0,,,,,,,,2500.0,,,,,,,,2562.0,,,,,,,,2556.0,,,,,,,,2572.0,,,,,,,,,2576.0,,,,,,,,,2579.0,,,,,
DAY,,,,,,,,,,,,,,222.7,,,,,,,,,192.6,,,,,,,,204.4,,,,,,,,,222.8,,,,,,,,,234.5,,,,,,,,250.4,,,,,,,,257.2,,,,,,,,282.1,,,,,,,,293.3,,,,,,,,301.2,,,,,,,,,315.6,,,,,,,,336.1,,,,,,370.6,,,,,,,365.9,,,,,,,,377.5,,,,,,,,399.7,,,,,,,,431.5,,,,,,,,423.3,,,,,,,,,440.0,,,,,,,,,465.2,,,,,
NTES,,,,,,,,,,,,,,17062.0,,,,,,,,,18185.0,,,,,,,,18658.0,,,,,,,,,19762.0,,,,,,,,,20517.0,,,,,,,,20525.0,,,,,,,,22191.0,,,,,,,,24374.0,,,,,,,,23556.0,,,,,,,,23159.0,,,,,,,,,24427.0,,,,,,,,25354.0,,,,,,25046.0,,,,,,,24011.0,,,,,,,,27270.0,,,,,,,,27140.0,,,,,,,,26852.0,,,,,,,,25486.0,,,,,,,,,26210.0,,,,,,,,,26748.0,,,,,
RSKD,,,,,,,,,,,,,,33.19,,,,,,,,,37.81,,,,,,,,41.7,,,,,,,,,57.05,,,,,,,,,51.08,,,,,,,,55.69,,,,,,,,52.53,,,,,,,,69.83,,,,,,,,58.85,,,,,,,,59.93,,,,,,,,,63.17,,,,,,,,79.3,,,,,,68.91,,,,,,,72.77,,,,,,,,71.87,,,,,,,,84.07,,,,,,,,76.41,,,,,,,,78.73,,,,,,,,,78.85,,,,,,,,,93.53,,,,,
RDFN,,,,,,,,,,,,,,191.0,,,,,,,,,213.67,,,,,,,,236.92,,,,,,,,,244.52,,,,,,,,,268.32,,,,,,,,471.32,,,,,,,,540.07,,,,,,,,643.06,,,,,,,,222.82,,,,,,,,349.05,,,,,,,,,305.77,,,,,,,,221.94,,,,,,214.08,,,,,,,275.56,,,,,,,,268.96,,,,,,,,218.08,,,,,,,,225.48,,,,,,,,295.2,,,,,,,,,278.02,,,,,,,,,244.28,,,,,
OB,,,,,,,,,,,,,,177.33,,,,,,,,,157.86,,,,,,,,186.51,,,,,,,,,245.44,,,,,,,,,228.02,,,,,,,,247.15,,,,,,,,250.78,,,,,,,,289.67,,,,,,,,254.22,,,,,,,,250.88,,,,,,,,,229.02,,,,,,,,257.97,,,,,,231.77,,,,,,,225.8,,,,,,,,230.02,,,,,,,,248.23,,,,,,,,216.96,,,,,,,,214.15,,,,,,,,,224.18,,,,,,,,,234.59,,,,,
MSFT,,,,,,,,,,,,,,35021.0,,,,,,,,,38033.0,,,,,,,,37154.0,,,,,,,,,43076.0,,,,,,,,,41706.0,,,,,,,,46152.0,,,,,,,,45317.0,,,,,,,,51728.0,,,,,,,,49360.0,,,,,,,,51865.0,,,,,,,,,50122.0,,,,,,,,52747.0,,,,,,52857.0,,,,,,,56189.0,,,,,,,,56517.0,,,,,,,,62020.0,,,,,,,,61858.0,,,,,,,,64727.0,,,,,,,,,65585.0,,,,,,,,,69632.0,,,,,
W,,,,,,,,,,,,,,2330.0,,,,,,,,,4305.0,,,,,,,,3840.0,,,,,,,,,3671.0,,,,,,,,,3478.0,,,,,,,,3857.0,,,,,,,,3121.0,,,,,,,,3252.0,,,,,,,,2993.0,,,,,,,,3284.0,,,,,,,,,2840.0,,,,,,,,3101.0,,,,,,2774.0,,,,,,,3171.0,,,,,,,,2944.0,,,,,,,,3114.0,,,,,,,,2729.0,,,,,,,,3117.0,,,,,,,,,2884.0,,,,,,,,,3121.0,,,,,
SEDG,,,,,,,,,,,,,,431.22,,,,,,,,,331.85,,,,,,,,338.1,,,,,,,,,358.11,,,,,,,,,405.49,,,,,,,,480.06,,,,,,,,526.4,,,,,,,,551.92,,,,,,,,655.08,,,,,,,,727.77,,,,,,,,,836.72,,,,,,,,890.7,,,,,,943.89,,,,,,,991.29,,,,,,,,725.31,,,,,,,,316.04,,,,,,,,204.4,,,,,,,,265.41,,,,,,,,,260.9,,,,,,,,,170.75,,,,,
BKNG,,,,,,,,,,,,,,2288.0,,,,,,,,,630.0,,,,,,,,2640.0,,,,,,,,,1238.0,,,,,,,,,1141.0,,,,,,,,2160.0,,,,,,,,4676.0,,,,,,,,2981.0,,,,,,,,2695.0,,,,,,,,4294.0,,,,,,,,,6052.0,,,,,,,,4049.0,,,,,,3778.0,,,,,,,5462.0,,,,,,,,7341.0,,,,,,,,4784.0,,,,,,,,4415.0,,,,,,,,5859.0,,,,,,,,,7994.0,,,,,,,,,5471.0,,,,,
SPT,,,,,,,,,,,,,,30.54,,,,,,,,,31.4,,,,,,,,33.67,,,,,,,,,37.35,,,,,,,,,40.82,,,,,,,,44.69,,,,,,,,49.09,,,,,,,,53.27,,,,,,,,57.43,,,,,,,,61.43,,,,,,,,,65.31,,,,,,,,69.66,,,,,,75.21,,,,,,,79.32,,,,,,,,85.53,,,,,,,,93.58,,,,,,,,96.78,,,,,,,,99.4,,,,,,,,,102.64,,,,,,,,,107.09,,,,,
APP,,,,,,,,,,,,,,260.18,,,,,,,,,299.33,,,,,,,,381.74,,,,,,,,,509.84,,,,,,,,,603.88,,,,,,,,668.81,,,,,,,,726.95,,,,,,,,793.47,,,,,,,,625.42,,,,,,,,776.23,,,,,,,,,713.1,,,,,,,,702.31,,,,,,715.41,,,,,,,750.17,,,,,,,,864.26,,,,,,,,953.26,,,,,,,,1058.0,,,,,,,,1080.0,,,,,,,,,1198.0,,,,,,,,,1373.0,,,,,
ENPH,,,,,,,,,,,,,,205.55,,,,,,,,,125.54,,,,,,,,178.5,,,,,,,,,264.84,,,,,,,,,301.75,,,,,,,,316.06,,,,,,,,351.52,,,,,,,,412.72,,,,,,,,441.29,,,,,,,,530.2,,,,,,,,,634.71,,,,,,,,724.65,,,,,,726.02,,,,,,,711.12,,,,,,,,551.08,,,,,,,,302.57,,,,,,,,263.34,,,,,,,,303.46,,,,,,,,,380.87,,,,,,,,,382.71,,,,,
BIGC,,,,,,,,,,,,,,33.17,,,,,,,,,36.32,,,,,,,,39.74,,,,,,,,,43.14,,,,,,,,,46.66,,,,,,,,49.01,,,,,,,,59.29,,,,,,,,64.9,,,,,,,,66.05,,,,,,,,68.2,,,,,,,,,72.39,,,,,,,,72.43,,,,,,71.76,,,,,,,75.44,,,,,,,,78.05,,,,,,,,84.15,,,,,,,,80.36,,,,,,,,81.83,,,,,,,,,83.71,,,,,,,,,87.03,,,,,
FRSH,,,,,,,,,,,,,,54.0,,,,,,,,,56.48,,,,,,,,66.19,,,,,,,,,73.0,,,,,,,,,80.59,,,,,,,,88.34,,,,,,,,96.61,,,,,,,,105.48,,,,,,,,114.64,,,,,,,,121.43,,,,,,,,,128.76,,,,,,,,133.17,,,,,,137.69,,,,,,,145.08,,,,,,,,153.55,,,,,,,,160.11,,,,,,,,165.14,,,,,,,,174.13,,,,,,,,,186.58,,,,,,,,,194.57,,,,,
OPEN,,,,,,,,,,,,,,1256.0,,,,,,,,,739.83,,,,,,,,338.61,,,,,,,,,248.77,,,,,,,,,747.0,,,,,,,,1186.0,,,,,,,,2266.0,,,,,,,,3822.0,,,,,,,,5151.0,,,,,,,,4198.0,,,,,,,,,3361.0,,,,,,,,2857.0,,,,,,3120.0,,,,,,,1976.0,,,,,,,,980.0,,,,,,,,870.0,,,,,,,,1181.0,,,,,,,,1511.0,,,,,,,,,1377.0,,,,,,,,,1084.0,,,,,
AKAM,,,,,,,,,,,,,,764.3,,,,,,,,,794.72,,,,,,,,792.85,,,,,,,,,846.29,,,,,,,,,842.71,,,,,,,,852.82,,,,,,,,860.33,,,,,,,,905.36,,,,,,,,903.65,,,,,,,,903.33,,,,,,,,,881.9,,,,,,,,927.78,,,,,,915.7,,,,,,,935.72,,,,,,,,965.48,,,,,,,,995.02,,,,,,,,986.97,,,,,,,,979.58,,,,,,,,,1005.0,,,,,,,,,1020.0,,,,,
DBX,,,,,,,,,,,,,,455.0,,,,,,,,,467.4,,,,,,,,487.4,,,,,,,,,504.1,,,,,,,,,511.6,,,,,,,,530.6,,,,,,,,550.2,,,,,,,,565.5,,,,,,,,562.4,,,,,,,,572.7,,,,,,,,,591.0,,,,,,,,598.8,,,,,,611.1,,,,,,,622.5,,,,,,,,633.0,,,,,,,,635.0,,,,,,,,631.3,,,,,,,,634.5,,,,,,,,,638.8,,,,,,,,,643.6,,,,,
PUBM,,,,,,,,,,,,,,28.35,,,,,,,,,26.36,,,,,,,,37.8,,,,,,,,,56.24,,,,,,,,,43.61,,,,,,,,49.66,,,,,,,,58.09,,,,,,,,75.56,,,,,,,,54.55,,,,,,,,63.03,,,,,,,,,64.5,,,,,,,,74.3,,,,,,55.41,,,,,,,63.33,,,,,,,,63.68,,,,,,,,84.6,,,,,,,,66.7,,,,,,,,67.27,,,,,,,,,71.79,,,,,,,,,85.5,,,,,
IBM,,,,,,,,,,,,,,17571.0,,,,,,,,,18121.0,,,,,,,,17561.0,,,,,,,,,1926.0,,,,,,,,,13185.0,,,,,,,,14220.0,,,,,,,,13251.0,,,,,,,,16695.0,,,,,,,,14197.0,,,,,,,,15535.0,,,,,,,,,14106.0,,,,,,,,16691.0,,,,,,14252.0,,,,,,,15475.0,,,,,,,,14752.0,,,,,,,,17380.0,,,,,,,,14461.0,,,,,,,,15772.0,,,,,,,,,14967.0,,,,,,,,,17553.0,,,,,
LYFT,,,,,,,,,,,,,,955.71,,,,,,,,,339.35,,,,,,,,499.74,,,,,,,,,569.88,,,,,,,,,608.96,,,,,,,,765.03,,,,,,,,864.41,,,,,,,,969.93,,,,,,,,875.58,,,,,,,,990.75,,,,,,,,,1054.0,,,,,,,,1175.0,,,,,,1001.0,,,,,,,1021.0,,,,,,,,1158.0,,,,,,,,1225.0,,,,,,,,1277.0,,,,,,,,1436.0,,,,,,,,,1523.0,,,,,,,,,1550.0,,,,,
GPRO,,,,,,,,,,,,,,119.4,,,,,,,,,134.25,,,,,,,,280.51,,,,,,,,,357.77,,,,,,,,,203.68,,,,,,,,249.59,,,,,,,,316.67,,,,,,,,391.15,,,,,,,,216.71,,,,,,,,250.69,,,,,,,,,305.13,,,,,,,,321.02,,,,,,174.72,,,,,,,241.02,,,,,,,,294.3,,,,,,,,295.42,,,,,,,,155.47,,,,,,,,186.22,,,,,,,,,258.9,,,,,,,,,200.88,,,,,
FSLY,,,,,,,,,,,,,,62.92,,,,,,,,,74.66,,,,,,,,70.64,,,,,,,,,82.65,,,,,,,,,84.85,,,,,,,,85.03,,,,,,,,86.74,,,,,,,,97.72,,,,,,,,102.38,,,,,,,,102.52,,,,,,,,,108.5,,,,,,,,119.32,,,,,,117.56,,,,,,,122.83,,,,,,,,127.82,,,,,,,,137.78,,,,,,,,133.52,,,,,,,,132.37,,,,,,,,,137.21,,,,,,,,,140.58,,,,,
LZ,,,,,,,,,,,,,,105.8,,,,,,,,,111.01,,,,,,,,131.6,,,,,,,,,122.24,,,,,,,,,134.63,,,,,,,,150.43,,,,,,,,147.88,,,,,,,,142.14,,,,,,,,155.43,,,,,,,,162.65,,,,,,,,,155.28,,,,,,,,146.63,,,,,,165.94,,,,,,,168.85,,,,,,,,167.27,,,,,,,,158.66,,,,,,,,174.21,,,,,,,,177.36,,,,,,,,,168.6,,,,,,,,,161.71,,,,,
TDC,,,,,,,,,,,,,,434.0,,,,,,,,,457.0,,,,,,,,454.0,,,,,,,,,491.0,,,,,,,,,491.0,,,,,,,,491.0,,,,,,,,460.0,,,,,,,,475.0,,,,,,,,496.0,,,,,,,,430.0,,,,,,,,,417.0,,,,,,,,452.0,,,,,,476.0,,,,,,,462.0,,,,,,,,438.0,,,,,,,,457.0,,,,,,,,465.0,,,,,,,,436.0,,,,,,,,,440.0,,,,,,,,,409.0,,,,,
DNA,,,,,,,,,,,,,,21.13,,,,,,,,,10.16,,,,,,,,13.3,,,,,,,,,32.06,,,,,,,,,44.1,,,,,,,,43.64,,,,,,,,77.61,,,,,,,,148.49,,,,,,,,168.41,,,,,,,,144.62,,,,,,,,,66.4,,,,,,,,98.29,,,,,,80.7,,,,,,,80.57,,,,,,,,55.43,,,,,,,,34.76,,,,,,,,37.94,,,,,,,,56.21,,,,,,,,,89.05,,,,,,,,,43.85,,,,,
PYPL,,,,,,,,,,,,,,4618.0,,,,,,,,,5261.0,,,,,,,,5459.0,,,,,,,,,6116.0,,,,,,,,,6033.0,,,,,,,,6238.0,,,,,,,,6182.0,,,,,,,,6918.0,,,,,,,,6483.0,,,,,,,,6806.0,,,,,,,,,6846.0,,,,,,,,7383.0,,,,,,7040.0,,,,,,,7287.0,,,,,,,,7418.0,,,,,,,,8026.0,,,,,,,,7699.0,,,,,,,,7885.0,,,,,,,,,7847.0,,,,,,,,,8366.0,,,,,
VCSA,,,,,,,,,,,,,,113.39,,,,,,,,,83.34,,,,,,,,186.13,,,,,,,,,108.91,,,,,,,,,129.42,,,,,,,,237.61,,,,,,,,329.93,,,,,,,,192.1,,,,,,,,247.26,,,,,,,,310.35,,,,,,,,,412.18,,,,,,,,218.16,,,,,,256.85,,,,,,,304.58,,,,,,,,379.08,,,,,,,,177.44,,,,,,,,209.47,,,,,,,,248.98,,,,,,,,,314.05,,,,,,,,,137.99,,,,,
BKKT,,,,,,,,,,,,,,3.53,,,,,,,,,8.91,,,,,,,,6.63,,,,,,,,,9.43,,,,,,,,,8.15,,,,,,,,8.49,,,,,,,,9.14,,,,,,,,13.66,,,,,,,,12.53,,,,,,,,14.04,,,,,,,,,13.21,,,,,,,,15.91,,,,,,13.22,,,,,,,347.63,,,,,,,,204.77,,,,,,,,214.51,,,,,,,,854.58,,,,,,,,509.9,,,,,,,,,328.42,,,,,,,,,,,,,,
TTWO,,,,,,,,,,,,,,760.54,,,,,,,,,831.31,,,,,,,,841.14,,,,,,,,,860.89,,,,,,,,,839.43,,,,,,,,813.3,,,,,,,,858.2,,,,,,,,903.3,,,,,,,,930.0,,,,,,,,1102.0,,,,,,,,,1394.0,,,,,,,,1408.0,,,,,,1446.0,,,,,,,1285.0,,,,,,,,1299.0,,,,,,,,1366.0,,,,,,,,1399.0,,,,,,,,1338.0,,,,,,,,,1353.0,,,,,,,,,1360.0,,,,,
CRTO,,,,,,,,,,,,,,503.38,,,,,,,,,437.61,,,,,,,,470.35,,,,,,,,,661.28,,,,,,,,,541.08,,,,,,,,551.31,,,,,,,,508.58,,,,,,,,653.27,,,,,,,,510.57,,,,,,,,495.09,,,,,,,,,446.92,,,,,,,,564.43,,,,,,445.02,,,,,,,468.93,,,,,,,,469.19,,,,,,,,566.3,,,,,,,,450.06,,,,,,,,471.31,,,,,,,,,458.89,,,,,,,,,553.04,,,,,
EA,,,,,,,,,,,,,,1387.0,,,,,,,,,1459.0,,,,,,,,1151.0,,,,,,,,,1673.0,,,,,,,,,1346.0,,,,,,,,1551.0,,,,,,,,1826.0,,,,,,,,1789.0,,,,,,,,1825.0,,,,,,,,1767.0,,,,,,,,,1904.0,,,,,,,,1881.0,,,,,,1874.0,,,,,,,1924.0,,,,,,,,1914.0,,,,,,,,1945.0,,,,,,,,1779.0,,,,,,,,1660.0,,,,,,,,,2025.0,,,,,,,,,1883.0,,,,,
